SNO,TEAM,MAT,WON,LOST,N/R,TIE,PTS,WIN%,NET RR,FOR,AGAINST
1,Dallas Mustangs,10,8,2,0,0,16.0,80.00%,1.3954,1660/193.2,1413/196.3
2,Michigan Cricket Stars,10,6,3,1,0,13.0,66.67%,0.9868,1308/170.2,1131/169.0
3,Lone Star Athletics,10,5,4,1,0,11.0,55.56%,0.1846,1242/165.2,1253/171.0
4,Dallas Xforia Giants,10,5,4,1,0,11.0,55.56%,-0.0598,1268/161.2,1308/165.1
5,Chicago Kingsmen,10,4,3,3,0,11.0,57.14%,0.3685,952/125.5,980/136.1
6,Houston Hurricanes,10,4,6,0,0,8.0,40.00%,-0.2389,1364/178.3,1383/175.3
7,St. Louis Americans,10,2,7,1,0,5.0,22.22%,-1.1797,1039/159.0,1152/149.2
8,Chicago Tigers,10,2,7,1,0,5.0,22.22%,-1.6211,1193/177.4,1406/168.4
9,East Bay Blazers,10,8,1,1,0,17.0,88.89%,0.8517,1356/179.1,1209/180.0
10,Silicon Valley Strikers,10,6,3,1,0,13.0,66.67%,0.3011,1142/169.4,1152/179.1
11,Golden State Grizzlies,10,4,6,0,0,8.0,40.00%,0.0904,1345/188.0,1401/198.2
12,Seattle Thunderbolts,10,4,6,0,0,8.0,40.00%,-0.0117,1363/200.0,1280/187.3
13,Los Angeles Lashings,10,4,6,0,0,8.0,40.00%,-0.3701,1372/195.5,1399/189.4
14,San Diego Surf Riders,10,3,7,0,0,6.0,30.00%,-0.7547,1244/200.0,1381/198.0
15,Atlanta Lightning,10,7,1,2,0,16.0,87.50%,1.6809,1084/146.0,919/160.0
16,Atlanta Fire,10,6,3,1,0,13.0,66.67%,1.2716,1197/167.3,1031/175.3
17,Ft. Lauderdale Lions,10,5,3,2,0,12.0,62.50%,-0.254,1016/152.2,1087/157.0
18,Baltimore Royals,10,4,5,1,0,9.0,44.44%,0.4252,1103/171.4,1010/168.2
19,Morrisville Raptors,10,2,4,4,0,8.0,33.33%,-0.256,844/117.2,879/118.0
20,Orlando Galaxy,10,1,9,0,0,2.0,10.00%,-2.4777,984/200.0,1302/176.0
21,The Philadelphians,10,6,2,2,0,14.0,75.00%,0.7739,779/135.0,717/143.3
22,New Jersey Stallions,10,6,4,0,0,12.0,60.00%,0.4741,1142/189.4,1053/189.5
23,New England Eagles,10,5,4,1,0,11.0,55.56%,-0.0922,675/128.5,662/124.1
24,New Jersey Somerset Cavaliers,10,5,4,1,0,11.0,55.56%,0.299,839/163.2,820/169.3
25,Empire State Titans,10,3,6,1,0,7.0,33.33%,-1.6793,798/167.5,756/117.3
26,Manhattan Yorkers,10,2,7,1,0,5.0,22.22%,-1.2698,712/176.3,937/176.4